7,15,18,26,39,19
3,5,6,14,34,17
11,15,18,23,28,12
7,20,30,34,45,15
3,11,12,26,27,10
16,34,42,44,46,9
18,27,29,38,42,24
4,15,33,40,45,4
13,16,18,29,39,3
1,31,32,34,47,10
5,16,20,29,42,5
3,15,23,25,38,7
1,3,8,25,40,8
7,11,24,37,47,1
4,8,15,41,44,2
4,14,19,36,41,3
11,13,23,27,29,10
6,12,36,39,44,2
2,4,20,24,27,10
8,12,15,28,33,26
14,20,21,25,31,25
4,6,16,27,39,10
5,9,25,31,46,26
7,14,16,22,28,20
15,16,24,29,35,6
2,18,19,25,36,10
5,30,31,32,46,7
11,16,23,38,39,20
2,12,20,27,38,5
1,5,13,35,46,14
2,13,29,33,41,19
7,8,23,37,42,23
12,20,24,30,42,7
3,8,26,37,46,18
8,30,35,38,41,27
3,9,13,20,28,24
10,20,21,23,36,7
4,23,25,33,42,15
1,16,26,45,46,5
6,32,33,43,44,16
4,10,20,30,35,13
5,7,17,20,23,23
9,22,29,32,39,23
10,15,22,24,31,1
8,21,24,28,38,1
10,19,28,32,39,18
12,14,39,43,45,19
34,39,40,45,47,18
9,14,15,16,44,24
5,9,17,29,33,1
5,7,13,38,43,11
1,7,31,42,44,24
16,23,25,35,47,13
9,21,34,43,46,21
5,9,11,35,43,4
16,17,21,26,37,2
1,10,14,35,47,11
3,9,19,24,42,16
4,23,27,28,33,16
8,23,26,33,40,14
2,32,43,46,47,7
14,16,17,24,33,2
10,12,18,22,31,2
2,18,27,36,37,6
3,17,23,37,47,22
7,24,28,43,46,13
2,11,13,16,22,23
6,7,30,41,43,11
9,17,22,32,47,3
1,3,26,29,37,6
18,19,27,29,45,15
1,9,13,34,46,13
7,14,34,41,46,1
3,4,8,13,43,6
2,15,23,32,39,12
3,12,33,44,47,22
11,25,33,35,41,10
4,16,28,35,45,1
4,21,33,38,41,6
9,19,32,40,47,6
5,7,13,31,43,20
1,32,33,38,43,16
13,22,33,46,47,24
23,30,37,38,45,22
6,22,29,44,46,9
5,14,22,25,26,8
10,15,25,36,46,18
4,7,10,25,41,10
7,15,17,33,35,22
3,5,14,40,46,2
25,28,35,45,47,20
12,19,22,37,45,15
4,18,24,33,47,1
9,25,40,44,47,15
1,15,35,40,45,23
17,29,36,41,43,17
5,8,19,21,37,12
1,7,15,31,43,3
5,7,14,44,46,27
21,29,31,35,45,2
12,32,39,46,47,5
15,17,29,32,41,23
18,20,30,40,42,15
10,22,34,37,47,23
10,13,27,33,34,23
12,17,22,25,37,24
1,2,6,25,40,19
1,2,3,28,38,21
2,18,20,21,45,24
14,35,36,40,47,6
6,26,30,41,44,8
4,20,26,31,36,22
9,23,25,27,34,12
3,5,32,34,36,20
30,33,41,44,47,7
30,38,41,42,43,22
10,23,30,38,43,8
5,8,28,35,39,8
6,9,10,25,45,4
12,36,37,44,47,13
2,11,12,25,32,26
19,24,32,45,47,14
7,12,30,40,47,16
13,17,18,33,46,7
30,31,32,34,39,6
9,27,28,34,47,6
11,13,15,17,26,26
9,14,16,18,19,24
21,32,36,39,40,25
5,25,32,33,46,26
3,15,26,32,39,6
1,3,5,23,29,15
12,14,29,39,41,26
9,18,37,41,42,3
20,21,32,37,41,22
15,21,25,31,44,27
5,22,28,37,43,19
4,10,29,36,44,17
4,11,21,26,46,6
8,11,13,22,26,18
14,23,28,30,35,24
22,23,34,40,42,9
3,11,21,36,47,7
1,2,3,22,34,8
5,10,26,43,44,16
5,6,12,15,39,18
8,28,32,43,44,11
8,14,32,35,37,4
13,14,19,35,45,20
16,17,20,32,36,10
16,32,35,40,47,24
1,8,12,32,41,21
7,12,15,17,37,25
7,22,35,36,37,4
4,10,23,24,44,23
8,16,22,30,33,4
5,10,26,28,43,9
26,30,32,37,45,16
10,11,27,34,39,27
3,8,18,40,45,26
2,14,15,37,43,23
4,6,22,24,29,18
6,9,20,28,33,19
2,9,24,33,37,1
7,12,20,32,39,20
6,9,11,28,45,7
11,15,24,26,28,10
1,36,41,44,47,10
17,24,30,33,45,22
11,15,17,30,37,11
4,17,18,32,46,24
2,9,13,21,46,23
2,11,12,26,42,7
1,2,7,19,47,14
8,9,16,22,26,15
11,15,25,31,32,18
12,14,22,32,46,24
13,25,29,40,46,21
11,14,20,36,39,11
9,16,29,31,40,20
5,14,36,38,47,18
20,26,36,41,42,16
20,22,26,27,43,16
4,19,25,40,42,3
4,5,25,43,45,25
21,35,40,44,47,11
3,9,15,17,31,25
8,12,13,29,36,10
3,4,27,30,39,3
13,18,31,38,44,25
4,7,13,28,34,4
5,11,28,34,39,15
1,6,7,19,36,16
7,8,14,23,41,13
4,6,22,29,47,27
5,10,12,20,29,25
14,17,31,42,47,13
19,26,32,34,42,1
4,7,11,15,38,4
4,11,22,34,40,9
4,18,19,42,43,25
2,18,23,24,39,5
6,19,39,40,43,24
6,22,31,36,43,18
5,18,28,43,44,24
2,11,36,40,45,13
14,19,22,36,40,3
3,8,17,20,44,23
8,19,23,24,30,23
16,18,19,29,38,9
2,6,8,12,19,23
12,21,39,40,43,26
7,27,41,42,46,1
1,8,22,33,37,7
4,22,23,32,39,23
4,19,38,42,44,19
2,3,10,22,25,7
4,7,9,16,25,17
5,36,37,42,43,24
1,4,11,13,44,16
2,18,22,28,40,10
4,18,21,23,42,26
1,15,20,30,40,13
7,14,23,26,31,5
11,17,40,44,45,23
7,19,26,30,34,13
4,13,15,26,46,2
9,15,17,24,35,18
10,24,26,30,35,6
